id,geom,name
72068,0102000020E6100000030000002F5D77A9C75C2240403F428303BD464033FAD170CA5C224047640E3801BD4640714111E6D15C22409128B4ACFBBC4640,
2860,0102000020E610000004000000B00DCB55E25C224000BFEBD8ADBD4640495057D2E55C2240E8AA2F01AEBD4640E1720690EB5C22405F7F6D58AEBD464016759C91F75C2240E2E7BF07AFBD4640,Piazzale Antonio Baiamonti
72614,0102000020E610000005000000F6798CF2CC632240855CA96741BB46401C487254C96322402C2B4D4A41BB4640E4A08499B66322409829F74C40BB4640AB3E575BB16322402D5F97E13FBB46402E008DD2A5632240CE14DFF53EBB4640,
70689,0102000020E61000000200000083A9C18FC56D2240B51E190687BC4640CB4C69FD2D6D2240C4B068DF81BC4640,
65981,0102000020E610000002000000EF5701BEDB5C2240EC59C63CE1BB4640162DE521F85C2240BBE35EAAE3BB4640,Foro Buonaparte
64008,0102000020E610000004000000B1D359773D7E22409C4C817115BD46404763A362527E224072DEFFC709BD4640AD82BD2E687E22407E6FD39FFDBC4640A65DF1796A7E22402CD3D457FCBC4640,Via Riccardo Pitteri
59960,0102000020E610000005000000D7AB23A2F36D22402E162B0F77BD4640F1643733FA6D2240D40CA9A278BD4640E9EDCF45436E224006F75ED78ABD4640E118B8F2486E22400034EFDD8BBD4640E7CAFB93536E22409A7CB3CD8DBD4640,Piazzale Francesco Bacone
47606,0102000020E610000002000000BF88111D5D542240760EAF35A5BB4640434D3E8743542240E022410290BB4640,
39457,0102000020E61000000200000091FE4DDEB65D2240FBC9181F66BC464053D0ED258D5D224038D4940964BC4640,
72915,0102000020E6100000030000005ADF1B9EB96A2240688C7B9862B9464089A2F611AE6A2240A9A3E36A64B94640B2CC6CA1756A2240B6323C516DB94640,Corso Lodi
68462,0102000020E6100000020000008721286D60652240B6903644CBBB4640E311818F66652240A7881DD7D0BB4640,Corso Venezia
71017,0102000020E61000000400000013DCA392956222405C887A66EEBE4640AB92C83EC8622240AA93D85A04BF4640AAE27CA0CB622240D9113DDF05BF46405F1ED72BD16222401F14EF5B08BF4640,
70942,0102000020E610000007000000EB573A1F9E5D22408CE145BAFABB464039C42E40915D22409E66DC2FFABB4640F4E791F58A5D2240E5A210B7F9BB4640D351691F865D224075A5AF31F9BB4640E7C8CA2F835D22407B2068BBF8BB46408F2D1565805D22402898D64BF8BB46403C4F97207E5D2240344690EFF7BB4640,
63045,0102000020E61000000C000000BCEF73D76D7F22403B1856968DBA464030D7A205687F2240991A57128FBA46402DEA93DC617F2240159227A490BA4640F637B23C597F2240D9B5BDDD92BA4640E441C417377F22404B523EA99BBA464019C2D6112C7F22408BF3DCE79DBA4640C40F2961017F2240814067D2A6BA4640B5D084DCFB7E224092EDD7F8A7BA464002AD0A1EF07E22404AAB6BFEA9BA46403373DC84D67E2240E8AA2F01AEBA46406FFBD467BD7E2240BD337FF1B1BA46405F1AD01CA37E224020A5C810B6BA4640,Via Zante
29549,0102000020E610000003000000FB57FBE021792240025251AB9EBD4640267E7B8D13792240390F27309DBD4640CD672F91C1782240AEE820F994BD4640,Via Edoardo Bassini
2021,0102000020E6100000050000002AD6BA1E965F2240A264CD23DABC46402CEBA3F89D5F22409D4B7155D9BC4640521E2796A55F224020724408D9BC4640ADB8DD70C45F224008D451C4D8BC4640BB8FEDC6CC5F224079196AB9D8BC4640,Largo Claudio Treves
37911,0102000020E610000005000000AB28B91EE05C22400A1346B3B2B8464025D126E2085D224068FBA1E3B4B84640325294F0295D22407FEF80FCB6B84640F7B3B343575D2240A15DCF21BAB846408555061F945D224075CC79C6BEB84640,
3767,0102000020E61000000900000075E0415832642240AE241EF57CBE46407F0F0302426422405C881FAD7BBE4640B1DCD26A486422401AE148FB7ABE464070D4658C6A642240A5187B8A77BE4640F437FCC9736422403491E39876BE4640D53840D58D6422404E6958E773BE46403BF3BC6598642240A8FC10C072BE464010858549A76422400E10711871BE464008B76BF8CC642240F3F400CC6BBE4640,Via Luigi Galvani
71614,0102000020E6100000030000004540CFB062662240E42D573F36B84640EFB902C06766224076D20CF32FB84640C9EB1C5E6B662240F05CCE5B2BB84640,
37674,0102000020E610000002000000F50EB743C3662240A0C37C7901BD4640018D2D5FF26622403106D671FCBC4640,
11364,0102000020E610000003000000CA011654AF6E224045FA48A533BE46403FDE509DB36E2240A4784B2833BE46407A4A73D0CA6E2240E1CA7E8230BE4640,Piazzale Loreto
72579,0102000020E6100000080000001E937B702D7922402A519BDDFFBD4640EC9ADA6333792240AD01A5FCFFBD4640E882FA9639792240CA4862EEFFBD46400F46EC13407922403C32569BFFBD4640B22AC24D4679224030702F1FFFBD46404F7A3AB24D7922409CCAFD69FEBD4640787DE6AC4F792240426B8F28FEBD46401EEA2DD45079224019BECF02FEBD4640,
40569,0102000020E610000002000000F984ECBC8D5D2240090E791563BC464049C21957B75D224002E9AC6065BC4640,
63067,0102000020E61000000300000002F62C639E6822405DB2E03433B94640FD38F5DC9D6822405088258A35B9464032665C829D6822403DBBD7A436B94640,Piazza Trento
33287,0102000020E610000003000000C976BE9F1A632240D5C67D50BCB84640730DD87A2B632240ED365E70BCB84640FD529A289D6322405E62D119BDB84640,Via Giovanni Spadolini
65722,0102000020E610000006000000705B00BFEB5C22408FC70C54C6BC4640852F0219F05C22400FD3BEB9BFBC4640B9AC1D20F35C2240479C0425BBBC464022EF0B9EF85C2240B642FDD3B2BC464021A7542EF95C22408E113FB5B0BC46407B3A0D07F85C224089FE1A5AAEBC4640,Via Legnano
47581,0102000020E6100000020000000F666E19CB6322406E94AB0E6FBC4640B32D5E87C5632240AA8482AD6DBC4640,
76647,0102000020E610000002000000B21EAD20BC5C22407AE063B0E2B94640C2813573ED5C2240C89750C1E1B94640,
34296,0102000020E61000000200000083948E28A35422405A3C0675DBBB4640379325299F542240AD68739CDBBB4640,Via Alberto da Giussano
25294,0102000020E610000006000000E27C4512186A2240F2D313F131BB4640022956B2086A224099A2B7D331BB4640639C1AC3F7692240B188618731BB464016CE7F59EB692240B12C3D3F31BB4640861854C0E2692240ED026F9230BB4640E3C3EC65DB6922403B1680EB2FBB4640,
66814,0102000020E6100000040000008411FB04506422401487229342BB464096EA025E666422405B05D61643BB46406BE1687D806422404F290A4F43BB464011ED1978A46422404F290A4F43BB4640,Via Verziere
70247,0102000020E6100000050000003AD09E268E5F224069BAE875D5B946405254EC1E8F5F2240BCCCB051D6B946402C8606BD925F2240262F7C8ED9B94640AF1C6B90935F2240FB952941DAB94640A1624106975F2240D6E1E82ADDB94640,
10592,0102000020E61000000200000009432E82105A22403D8276E2CDB846408E89DEF30D5A22406FB65E78CAB84640,
